country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Netherlands,6860000,6990000,7110000,7230000,7350000,7470000,7590000,7700000,7800000,7920000,8040000,8170000,8290000,8410000,8520000,8630000,8750000,8840000,8940000,9050000,9160000,9280000,9380000,9470000,9570000,9670000,9780000,9900000,10000000,10100000,10300000,10400000,10700000,10900000,11100000,11300000,11400000,11600000,11800000,12000000,12200000,12500000,12800000,13000000,13300000,13500000,13700000,13800000,14000000,14300000,14500000,14700000,14800000,15000000,15100000,15300000,15400000,15600000,15800000
New Zealand,1800000,1850000,1910000,1970000,2020000,2070000,2130000,2180000,2210000,2240000,2280000,2320000,2380000,2430000,2490000,2550000,2580000,2590000,2600000,2590000,2600000,2610000,2640000,2670000,2700000,2720000,2720000,2750000,2770000,2790000,2820000,2970000,3010000,3050000,3090000,3140000,3200000,3240000,3280000,3300000,3320000,3340000,3400000,3470000,3530000,3570000,3620000,3650000,3680000,3710000,3750000,3770000,3800000,3830000,3890000,3970000,4050000,4150000,4190000
Nicaragua,702000,732000,764000,798000,840000,883000,929000,976000,1030000,1080000,1130000,1190000,1230000,1280000,1320000,1370000,1420000,1480000,1530000,1590000,1640000,1700000,1760000,1810000,1870000,1930000,1990000,2040000,2100000,2160000,2220000,2280000,2340000,2410000,2470000,2530000,2590000,2640000,2700000,2750000,2800000,2850000,2900000,2940000,2990000,3040000,3090000,3150000,3200000,3260000,3310000,3370000,3430000,3490000,3540000,3600000,3660000,3720000,3780000
Niger,196000,206000,215000,231000,248000,267000,286000,311000,337000,366000,397000,430000,466000,505000,547000,592000,641000,695000,736000,770000,805000,842000,880000,920000,962000,1010000,1050000,1100000,1150000,1190000,1230000,1280000,1330000,1380000,1440000,1500000,1560000,1620000,1690000,1760000,1830000,1910000,1980000,2060000,2130000,2210000,2300000,2380000,2480000,2570000,2670000,2780000,2880000,3000000,3120000,3250000,3390000,3530000,3690000
Nigeria,6960000,7200000,7460000,7730000,8010000,8300000,8600000,8910000,9240000,9580000,9940000,10400000,10900000,11400000,11900000,12500000,13200000,13900000,14600000,15400000,16100000,17100000,18100000,19200000,20300000,21400000,22700000,24000000,25300000,26800000,28300000,29500000,30700000,32000000,33400000,34800000,36200000,37700000,39300000,40900000,42600000,44700000,46900000,49300000,51700000,54300000,56900000,59700000,62700000,65700000,68900000,72200000,75700000,79200000,82900000,86700000,90500000,94500000,98600000
North Korea,4590000,4800000,5000000,5200000,5420000,5660000,5930000,6230000,6670000,7230000,7810000,8100000,8400000,8690000,8970000,9230000,9390000,9540000,9670000,9800000,9940000,10100000,10300000,10500000,10700000,10900000,11100000,11300000,11400000,11600000,11800000,12100000,12300000,12500000,12700000,12900000,13100000,13200000,13400000,13500000,13600000,13800000,13900000,14000000,14200000,14300000,14400000,14500000,14600000,14700000,14800000,14900000,15100000,15200000,15300000,15400000,15600000,15700000,15800000
North Macedonia,506000,531000,557000,584000,613000,643000,674000,708000,742000,776000,810000,839000,857000,874000,892000,912000,934000,958000,982000,1010000,1030000,1050000,1060000,1080000,1090000,1100000,1120000,1130000,1140000,1150000,1150000,1160000,1170000,1180000,1180000,1180000,1180000,1180000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1190000,1180000,1180000,1180000,1180000,1180000,1180000,1180000,1190000,1190000,1190000,1200000,1200000,1210000
Norway,1790000,1840000,1920000,1990000,2070000,2140000,2220000,2300000,2380000,2460000,2530000,2580000,2620000,2660000,2700000,2730000,2760000,2800000,2830000,2850000,2880000,2900000,2920000,2930000,2950000,2960000,2980000,3000000,3020000,3040000,3050000,3080000,3110000,3150000,3190000,3220000,3240000,3280000,3320000,3370000,3410000,3450000,3480000,3520000,3550000,3590000,3630000,3680000,3740000,3810000,3870000,3940000,4010000,4080000,4150000,4210000,4270000,4320000,4370000
Oman,90500,98700,108000,117000,128000,140000,152000,166000,181000,197000,215000,234000,256000,280000,307000,337000,371000,410000,452000,498000,549000,604000,663000,725000,790000,855000,920000,985000,1050000,1120000,1200000,1280000,1380000,1470000,1540000,1580000,1600000,1610000,1610000,1610000,1620000,1640000,1670000,1710000,1760000,1820000,1880000,1950000,2040000,2150000,2290000,2480000,2710000,2970000,3230000,3470000,3700000,3900000,4080000
Pakistan,9940000,10400000,10700000,11100000,11500000,12000000,12400000,12900000,13400000,13900000,14400000,15000000,15600000,16200000,16900000,17600000,18400000,19200000,20000000,20900000,21900000,22900000,23900000,24900000,26000000,27100000,28200000,29300000,30500000,31700000,32900000,34100000,35400000,36700000,38000000,39400000,40900000,42400000,43900000,45400000,46900000,48400000,49900000,51400000,52900000,54500000,56100000,57700000,59400000,61100000,62800000,64500000,66300000,68100000,70000000,71800000,73800000,75800000,77800000
Palau,5550,5740,5920,6100,6260,6410,6550,6670,6780,6900,7050,7230,7440,7650,7810,7890,7890,7800,7690,7610,7620,7790,8060,8400,8760,9120,9430,9680,9920,10200,10500,10800,11200,11500,11900,12300,12500,12800,13000,13300,13400,13600,13700,13800,14000,14100,14100,13900,13700,13600,13400,13400,13400,13500,13700,13800,14000,14100,14300
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340000,1410000,1490000,1570000,1650000,1740000,1830000,1930000,1990000,2040000,2100000,2160000,2230000,2290000,2360000,2430000,2500000,2570000,2650000,2730000,2810000,2890000,2970000,3050000,3130000,3220000,3300000,3380000,3480000
Panama,467000,488000,511000,534000,559000,584000,610000,637000,665000,695000,724000,749000,775000,801000,828000,856000,883000,912000,940000,969000,998000,1030000,1060000,1090000,1120000,1160000,1190000,1220000,1260000,1290000,1330000,1380000,1430000,1480000,1540000,1590000,1650000,1710000,1770000,1830000,1880000,1930000,1980000,2020000,2070000,2120000,2170000,2220000,2270000,2320000,2370000,2430000,2480000,2530000,2590000,2650000,2710000,2770000,2830000
Papua New Guinea,84000,92400,102000,112000,123000,136000,150000,174000,203000,235000,273000,316000,330000,344000,359000,375000,391000,408000,427000,446000,466000,486000,506000,527000,549000,571000,594000,618000,642000,667000,692000,700000,707000,715000,722000,730000,739000,747000,756000,765000,772000,788000,803000,818000,834000,851000,870000,890000,911000,931000,952000,971000,991000,1010000,1030000,1050000,1080000,1110000,1130000
Paraguay,677000,697000,718000,740000,763000,787000,812000,838000,864000,891000,917000,944000,971000,1010000,1050000,1090000,1130000,1180000,1220000,1270000,1330000,1380000,1440000,1510000,1580000,1650000,1730000,1810000,1890000,1970000,2060000,2140000,2230000,2320000,2400000,2490000,2580000,2670000,2760000,2850000,2950000,3040000,3130000,3210000,3280000,3360000,3430000,3500000,3560000,3630000,3700000,3770000,3850000,3920000,3990000,4060000,4140000,4210000,4280000
Peru,4750000,4950000,5210000,5490000,5780000,6070000,6380000,6700000,7030000,7370000,7730000,8090000,8470000,8800000,9130000,9480000,9830000,10200000,10600000,10900000,11300000,11700000,12100000,12500000,12800000,13200000,13600000,14000000,14400000,14800000,15200000,15600000,16000000,16400000,16800000,17200000,17700000,18100000,18500000,18900000,19300000,19700000,20000000,20300000,20600000,20900000,21200000,21500000,21700000,22000000,22200000,22400000,22700000,22900000,23200000,23600000,24000000,24400000,24900000
Philippines,7960000,8300000,8650000,9020000,9390000,9770000,10200000,10500000,11000000,11400000,11800000,12300000,12900000,13500000,14100000,14700000,15200000,15800000,16400000,17000000,17700000,18700000,19700000,20700000,21800000,22900000,24100000,25300000,26600000,27900000,29100000,29800000,30400000,31100000,31800000,32500000,33200000,33900000,34600000,35300000,36000000,36700000,37400000,38100000,38800000,39500000,40100000,40700000,41300000,41900000,42600000,43500000,44400000,45400000,46300000,47300000,48200000,49100000,50000000
Poland,14200000,14500000,14800000,15100000,15500000,15800000,16000000,16300000,16600000,16800000,17000000,17300000,17600000,18000000,18400000,18800000,19200000,19600000,20000000,20300000,20700000,21000000,21300000,21700000,22000000,22300000,22600000,22900000,23100000,23200000,23400000,23500000,23500000,23600000,23700000,23700000,23800000,23800000,23800000,23800000,23600000,23600000,23600000,23600000,23500000,23500000,23400000,23300000,23300000,23300000,23200000,23100000,23100000,23000000,23000000,22900000,22800000,22800000,22800000
Portugal,3100000,3160000,3210000,3260000,3300000,3320000,3330000,3340000,3360000,3360000,3370000,3390000,3420000,3450000,3540000,3710000,3850000,3930000,4010000,4090000,4180000,4260000,4340000,4410000,4480000,4540000,4600000,4650000,4700000,4740000,4780000,4830000,4890000,4960000,5040000,5120000,5210000,5300000,5390000,5490000,5600000,5700000,5800000,5890000,5970000,6040000,6120000,6190000,6270000,6340000,6400000,6460000,6490000,6520000,6550000,6580000,6620000,6660000,6710000
Qatar,40400,44100,48400,53400,58600,64100,69700,75600,81900,88900,96800,106000,116000,126000,136000,146000,155000,162000,171000,183000,200000,222000,249000,278000,307000,334000,360000,384000,407000,426000,442000,455000,464000,472000,480000,488000,498000,512000,529000,548000,571000,594000,620000,660000,731000,843000,999000,1190000,1410000,1630000,1830000,2010000,2170000,2310000,2430000,2540000,2630000,2700000,2760000
Romania,6300000,6470000,6650000,6820000,7000000,7170000,7370000,7590000,7790000,7970000,8160000,8350000,8540000,8710000,8900000,9120000,9340000,9560000,9800000,10000000,10200000,10500000,10700000,10900000,11100000,11300000,11500000,11700000,11900000,12200000,12300000,12400000,12400000,12300000,12300000,12200000,12100000,12100000,12000000,11900000,11900000,11700000,11500000,11400000,11400000,11300000,11300000,11200000,11000000,10900000,10900000,10900000,10800000,10800000,10700000,10700000,10600000,10600000,10500000
Russia,64400000,66200000,68100000,69900000,71800000,73700000,75300000,76800000,78400000,79900000,81500000,83000000,84500000,86100000,87600000,89100000,90800000,92500000,94200000,95700000,97000000,98200000,99500000,101000000,102000000,103000000,105000000,106000000,107000000,108000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,109000000,108000000,108000000,108000000,107000000,107000000,106000000,106000000,105000000,105000000,105000000,105000000,105000000,105000000,105000000,106000000,106000000,106000000,107000000,107000000,107000000,108000000
Rwanda,76300,79600,82700,85900,89400,93200,97700,103000,108000,114000,120000,129000,139000,150000,162000,175000,188000,204000,220000,232000,243000,255000,267000,280000,294000,311000,330000,352000,374000,389000,395000,389000,421000,458000,504000,574000,684000,800000,922000,1050000,1180000,1300000,1410000,1450000,1470000,1500000,1530000,1570000,1610000,1660000,1700000,1740000,1790000,1830000,1880000,1930000,1990000,2050000,2120000
Samoa,20600,21300,22100,22900,23700,24500,25300,26300,27300,28200,29100,30000,30600,31000,31400,31800,32100,32400,32500,32700,32900,33100,33400,33600,33800,33900,34000,34100,34200,34300,34500,34800,35200,35700,36200,36600,37000,37300,37700,38000,38300,38700,38700,38500,38300,38100,38000,37800,37600,37500,37300,37200,37100,37000,36800,36600,36300,36000,35800
San Marino,7550,7920,8310,8710,9120,9530,9940,10400,10800,11100,11500,12100,12600,13100,13600,14200,14800,15400,16100,16800,17400,18000,18600,19100,19600,20100,20600,21100,21300,21500,21800,22100,22400,22900,23300,23800,24200,24500,24900,25300,25700,26100,26500,26800,27200,27700,28100,28600,29000,29400,29900,30400,30900,31400,31800,32200,32500,32700,32800
Sao Tome and Principe,10300,10900,11600,12300,13200,14200,15400,16800,18500,20200,22000,23100,23800,24600,25400,26300,27400,28500,29700,30900,32100,33100,34600,36300,38000,39900,42100,44400,46900,49400,52000,54600,57000,59400,61700,64000,66400,68700,71000,73400,76000,78700,81900,85400,89100,93200,97600,102000,107000,112000,117000,122000,127000,131000,135000,140000,144000,149000,154000
Saudi Arabia,1280000,1370000,1460000,1580000,1720000,1880000,2040000,2220000,2410000,2610000,2840000,3090000,3370000,3670000,4000000,4330000,4670000,5040000,5440000,5890000,6380000,6940000,7550000,8190000,8860000,9530000,10200000,10800000,11300000,11900000,12400000,13000000,13500000,13900000,14300000,14700000,15000000,15400000,15700000,16100000,16500000,17000000,17500000,18100000,18700000,19300000,19900000,20500000,21100000,21800000,22500000,23300000,24100000,24900000,25600000,26400000,27100000,27700000,28300000
Senegal,738000,779000,823000,869000,919000,970000,1030000,1080000,1140000,1210000,1280000,1350000,1420000,1500000,1580000,1660000,1740000,1800000,1860000,1930000,2000000,2070000,2160000,2240000,2330000,2430000,2530000,2630000,2740000,2830000,2930000,3030000,3130000,3230000,3340000,3440000,3540000,3640000,3740000,3840000,3950000,4060000,4180000,4310000,4470000,4630000,4790000,4970000,5160000,5350000,5550000,5760000,5980000,6200000,6440000,6690000,6940000,7210000,7480000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820000,3860000,3900000,3940000,3980000,3940000,3950000,3960000,3960000,3960000,3970000,3980000,3990000,4000000,4000000,4010000,4010000,4010000,4010000,4010000,4010000,3990000,3990000,3970000,3960000,3950000,3940000,3930000,3920000
Seychelles,11500,12300,13100,13900,14800,15700,16700,17700,18700,19800,20900,22100,23400,24600,25900,27400,28900,30400,30700,31000,31200,31600,31800,31700,31900,32200,32400,33700,33900,34100,34200,34700,34900,35700,36800,37400,38000,38600,39500,40400,40900,41100,42600,42300,42400,42800,44000,44500,45800,46200,47900,47000,47800,49100,50200,51800,52900,53900,54900
Sierra Leone,402000,421000,441000,463000,486000,511000,537000,565000,594000,625000,658000,692000,729000,767000,807000,842000,873000,905000,939000,974000,1010000,1050000,1090000,1130000,1170000,1220000,1270000,1310000,1360000,1400000,1440000,1460000,1470000,1470000,1470000,1480000,1500000,1510000,1540000,1580000,1630000,1710000,1790000,1890000,1990000,2080000,2170000,2260000,2340000,2410000,2490000,2580000,2660000,2750000,2840000,2930000,3020000,3120000,3220000
Singapore,1650000,1700000,1750000,1800000,1840000,1890000,1930000,1980000,2010000,2040000,2070000,2110000,2150000,2190000,2230000,2260000,2290000,2330000,2350000,2380000,2410000,2530000,2650000,2680000,2730000,2740000,2730000,2770000,2850000,2930000,3050000,3140000,3230000,3310000,3420000,3520000,3670000,3800000,3930000,3960000,4030000,4140000,4180000,4110000,4170000,4270000,4400000,4590000,4840000,4990000,5080000,5180000,5310000,5400000,5470000,5540000,5610000,5610000,5640000
Slovak Republic,1360000,1420000,1470000,1520000,1570000,1620000,1670000,1720000,1770000,1820000,1860000,1910000,1980000,2050000,2120000,2190000,2270000,2340000,2420000,2500000,2570000,2620000,2670000,2710000,2750000,2800000,2840000,2880000,2920000,2960000,2990000,3010000,3010000,3020000,3030000,3030000,3030000,3040000,3040000,3040000,3030000,3020000,3010000,3000000,2990000,2990000,2980000,2970000,2960000,2960000,2950000,2940000,2940000,2930000,2930000,2920000,2920000,2920000,2930000
Slovenia,447000,464000,480000,498000,516000,536000,557000,579000,599000,618000,638000,660000,684000,709000,733000,760000,792000,822000,852000,883000,913000,933000,938000,947000,955000,963000,978000,993000,999000,1000000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1010000,1000000,1010000,1010000,1010000,1010000,1020000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1090000,1100000,1100000,1110000,1120000,1120000,1130000
Solomon Islands,6800,7330,7900,8520,9190,9910,10700,11500,12400,13400,14300,14900,15500,16200,16900,17600,18600,19900,21300,22800,24400,26100,27800,29700,31600,33700,35800,37600,39200,40900,42700,44500,46400,48400,50500,52700,54900,57300,59700,62200,65300,68700,72300,76000,79800,83800,87800,92000,96300,101000,106000,111000,117000,122000,129000,135000,141000,148000,155000
Somalia,477000,502000,528000,556000,584000,613000,644000,678000,714000,749000,781000,807000,829000,858000,909000,989000,1100000,1250000,1410000,1560000,1680000,1760000,1800000,1820000,1840000,1870000,1910000,1960000,2030000,2090000,2140000,2180000,2210000,2250000,2290000,2350000,2440000,2550000,2680000,2810000,2950000,3090000,3230000,3410000,3600000,3790000,3990000,3810000,4100000,4410000,4730000,5070000,5280000,5500000,5730000,5970000,6220000,6480000,6750000
South Africa,7970000,8200000,8430000,8660000,8910000,9160000,9420000,9690000,9970000,10300000,10600000,10800000,11200000,11500000,11800000,12100000,12400000,12800000,13100000,13500000,13800000,14300000,14700000,15200000,15600000,16100000,16700000,17300000,17900000,18500000,19100000,19800000,20500000,21200000,21900000,22600000,23200000,23800000,24400000,25000000,25600000,26100000,26700000,27300000,27900000,28500000,29100000,29800000,30400000,31100000,31900000,32600000,33400000,34200000,35100000,35900000,36700000,37500000,38300000
South Korea,6930000,7350000,7810000,8290000,8780000,9290000,9820000,10500000,11400000,12200000,13100000,13900000,14600000,15400000,16200000,16900000,17800000,18700000,19700000,20600000,21600000,22600000,23600000,24600000,25600000,26500000,27500000,28500000,29600000,30600000,31700000,32500000,33200000,33900000,34600000,35300000,35800000,36300000,36600000,37000000,37400000,37900000,38300000,38600000,38900000,39200000,39500000,39700000,40100000,40400000,40600000,40900000,41100000,41200000,41500000,41600000,41800000,41900000,42000000
South Sudan,249000,253000,257000,262000,267000,272000,278000,283000,289000,295000,302000,308000,315000,323000,330000,338000,346000,354000,363000,373000,384000,395000,408000,431000,472000,514000,557000,602000,647000,690000,729000,763000,791000,810000,805000,812000,835000,873000,920000,972000,1020000,1070000,1120000,1170000,1230000,1290000,1370000,1450000,1530000,1620000,1700000,1770000,1840000,1910000,1970000,2020000,2070000,2110000,2150000
Spain,17200000,17600000,18100000,18600000,19100000,19600000,20100000,20700000,21200000,21800000,22300000,22900000,23400000,23900000,24400000,24900000,25400000,25900000,26400000,26800000,27300000,27700000,27900000,28200000,28400000,28500000,28700000,28900000,29000000,29200000,29300000,29400000,29600000,29800000,30000000,30100000,30300000,30500000,30600000,30800000,30900000,31200000,31700000,32400000,33100000,33700000,34400000,35200000,35800000,36300000,36500000,36800000,36900000,36900000,36900000,37000000,37100000,37300000,37600000
Sri Lanka,1620000,1680000,1730000,1790000,1850000,1900000,1960000,2020000,2080000,2140000,2200000,2260000,2310000,2370000,2430000,2490000,2550000,2610000,2670000,2740000,2800000,2850000,2890000,2930000,2970000,3010000,3050000,3090000,3130000,3170000,3210000,3250000,3280000,3310000,3340000,3370000,3390000,3400000,3420000,3430000,3450000,3470000,3500000,3520000,3550000,3580000,3600000,3630000,3650000,3670000,3690000,3710000,3720000,3750000,3790000,3830000,3880000,3940000,4000000
St. Kitts and Nevis,14200,14500,14700,14900,15100,15200,15200,15300,15300,15300,15300,15300,15300,15400,15400,15500,15500,15500,15500,15500,15500,15400,15200,15100,14900,14800,14600,14400,14200,14000,13900,13900,14000,14000,14100,14200,14200,14300,14300,14400,14400,14500,14700,14800,14900,15000,15100,15200,15200,15300,15400,15400,15500,15600,15700,15800,15900,16000,16100
St. Lucia,19200,19700,20200,20700,21200,21800,22400,23000,23600,24300,24900,25400,26000,26500,27000,27600,28300,29000,29700,30500,31300,32000,32800,33500,34400,35300,36200,37300,38400,39500,40500,41400,41600,41800,42000,42200,42500,42800,43100,43400,43500,43500,42000,40500,39100,37700,36500,35300,34200,33100,32100,32400,32600,32800,33000,33200,33400,33700,34000
St. Vincent and the Grenadines,21000,21700,22400,23000,23600,24300,25000,25600,26300,27000,27800,28500,29300,30100,30900,31800,32600,33500,34300,35200,36100,36900,37800,38600,39500,40300,41200,42100,42900,43700,44500,45200,45700,46100,46500,46900,47200,47600,47900,48300,48700,49100,49600,50100,50600,51100,51500,51900,52200,52600,53000,53500,54000,54500,55000,55600,56200,56900,57500
Sudan,811000,873000,939000,1010000,1090000,1170000,1260000,1360000,1460000,1580000,1700000,1830000,1970000,2100000,2200000,2300000,2410000,2520000,2640000,2770000,2900000,3030000,3170000,3370000,3650000,3950000,4260000,4600000,4950000,5340000,5760000,6230000,6750000,7240000,7510000,7770000,8000000,8220000,8430000,8640000,8860000,9100000,9360000,9620000,9880000,10100000,10400000,10600000,10900000,11100000,11400000,11700000,12100000,12400000,12800000,13200000,13600000,14000000,14500000
Suriname,136000,140000,144000,148000,152000,155000,159000,162000,165000,168000,169000,169000,172000,179000,186000,193000,201000,209000,217000,225000,234000,234000,235000,236000,238000,241000,245000,250000,255000,261000,266000,272000,277000,282000,287000,292000,296000,301000,305000,309000,313000,317000,321000,325000,329000,333000,337000,340000,344000,347000,351000,355000,358000,362000,366000,369000,373000,377000,381000
Swaziland,13200,14900,16800,19000,21500,24300,27500,30500,33900,37700,41900,46400,51500,57000,63200,70000,77500,82400,86900,91700,96900,102000,108000,114000,121000,128000,135000,142000,150000,158000,166000,174000,182000,190000,198000,207000,215000,222000,225000,227000,228000,229000,229000,228000,227000,227000,227000,228000,231000,235000,239000,243000,247000,250000,253000,257000,261000,266000,270000
Sweden,5430000,5510000,5620000,5720000,5830000,5960000,6080000,6190000,6290000,6400000,6520000,6610000,6650000,6690000,6730000,6780000,6810000,6840000,6860000,6890000,6900000,6910000,6920000,6920000,6930000,6940000,6960000,6980000,7010000,7060000,7110000,7170000,7230000,7280000,7350000,7400000,7420000,7430000,7430000,7440000,7450000,7480000,7510000,7540000,7580000,7610000,7670000,7740000,7810000,7890000,7980000,8060000,8150000,8250000,8360000,8480000,8620000,8760000,8900000
Switzerland,3780000,3870000,3990000,4090000,4180000,4240000,4300000,4370000,4450000,4510000,4560000,4600000,4640000,4670000,4700000,4700000,4680000,4670000,4670000,4680000,4710000,4730000,4760000,4770000,4790000,4800000,4820000,4850000,4880000,4920000,4960000,5020000,5080000,5120000,5150000,5190000,5200000,5210000,5230000,5250000,5270000,5300000,5350000,5390000,5430000,5460000,5500000,5550000,5630000,5700000,5760000,5830000,5890000,5960000,6030000,6110000,6170000,6230000,6280000
Syria,1680000,1770000,1850000,1950000,2050000,2150000,2260000,2370000,2490000,2620000,2750000,2870000,3000000,3130000,3260000,3400000,3540000,3690000,3840000,4000000,4170000,4350000,4530000,4720000,4910000,5100000,5290000,5490000,5690000,5890000,6090000,6300000,6510000,6720000,6940000,7190000,7450000,7720000,7990000,8260000,8520000,8770000,9000000,9240000,9520000,9880000,10300000,10800000,11300000,11700000,11900000,11500000,10900000,10300000,9640000,9390000,9220000,9130000,9160000
Tajikistan,692000,725000,759000,796000,835000,875000,915000,957000,1000000,1040000,1080000,1110000,1130000,1160000,1180000,1210000,1230000,1260000,1280000,1310000,1340000,1370000,1400000,1440000,1470000,1510000,1550000,1590000,1630000,1660000,1670000,1680000,1680000,1680000,1670000,1660000,1660000,1650000,1640000,1640000,1650000,1670000,1700000,1730000,1770000,1800000,1840000,1870000,1910000,1950000,2000000,2040000,2090000,2140000,2200000,2260000,2330000,2400000,2470000
Tanzania,527000,558000,591000,626000,662000,702000,743000,787000,866000,959000,1060000,1180000,1310000,1450000,1600000,1770000,1960000,2160000,2380000,2540000,2700000,2860000,3040000,3220000,3420000,3630000,3840000,4070000,4310000,4530000,4760000,5000000,5270000,5540000,5820000,6090000,6360000,6620000,6890000,7170000,7470000,7800000,8140000,8580000,9050000,9550000,10100000,10600000,11200000,11800000,12500000,13200000,13900000,14600000,15400000,16300000,17200000,18100000,19000000
Thailand,5390000,5580000,5780000,5990000,6210000,6430000,6670000,6910000,7150000,7400000,7700000,8140000,8600000,9070000,9560000,10100000,10600000,11100000,11600000,12200000,12700000,13100000,13500000,13800000,14200000,14600000,15000000,15400000,15900000,16300000,16600000,16900000,17200000,17500000,17700000,18000000,18300000,18600000,19000000,19300000,19800000,20700000,21600000,22600000,23500000,24500000,25500000,26400000,27400000,28400000,29500000,30200000,30800000,31500000,32100000,32800000,33400000,34100000,34700000
Timor-Leste,47900,49500,51700,54000,56400,59000,61600,64400,67200,70300,73700,77300,81300,85300,88900,91800,93800,95000,95800,96900,98900,102000,106000,111000,116000,122000,128000,134000,140000,146000,154000,161000,169000,176000,184000,190000,196000,200000,204000,209000,215000,222000,230000,240000,250000,259000,268000,277000,285000,294000,303000,313000,322000,332000,342000,353000,364000,376000,388000
Togo,160000,175000,191000,209000,230000,255000,286000,322000,364000,409000,450000,472000,493000,513000,532000,553000,573000,595000,617000,642000,671000,704000,740000,780000,822000,864000,907000,950000,993000,1040000,1080000,1120000,1160000,1200000,1250000,1300000,1350000,1420000,1480000,1550000,1620000,1690000,1760000,1830000,1900000,1970000,2050000,2140000,2230000,2320000,2410000,2510000,2610000,2720000,2830000,2940000,3050000,3170000,3290000
Tonga,10800,11400,12100,12900,13700,14500,15300,15900,16300,16700,17000,17300,17500,17600,17800,18000,18200,18500,18900,19300,19700,20000,20200,20400,20700,20900,21200,21300,21400,21500,21600,21700,21700,21800,21900,21900,22000,22200,22300,22400,22500,22700,22800,23000,23200,23400,23600,23800,24100,24200,24300,24300,24100,23800,23600,23500,23500,23600,23900
Trinidad and Tobago,290000,303000,315000,328000,340000,351000,362000,373000,384000,395000,407000,420000,435000,450000,466000,482000,499000,515000,532000,550000,567000,578000,590000,601000,612000,623000,632000,640000,647000,654000,661000,668000,674000,680000,685000,690000,694000,698000,701000,705000,708000,709000,709000,710000,712000,713000,714000,714000,715000,716000,718000,719000,722000,725000,728000,731000,734000,736000,739000
Tunisia,1570000,1610000,1650000,1700000,1750000,1810000,1870000,1950000,2030000,2110000,2200000,2290000,2390000,2490000,2590000,2690000,2790000,2890000,2990000,3100000,3220000,3350000,3490000,3630000,3780000,3950000,4110000,4270000,4440000,4600000,4780000,4950000,5130000,5310000,5480000,5610000,5730000,5850000,5960000,6060000,6160000,6250000,6340000,6420000,6510000,6590000,6680000,6780000,6880000,6990000,7090000,7190000,7290000,7390000,7500000,7610000,7730000,7850000,7970000
Turkey,8660000,9030000,9400000,9790000,10200000,10600000,11100000,11600000,12200000,12700000,13300000,13900000,14500000,15100000,15700000,16300000,16900000,17500000,18000000,18600000,19300000,20300000,21600000,23000000,24400000,25800000,27000000,28200000,29500000,30700000,31900000,32900000,33700000,34600000,35500000,36300000,37200000,38100000,39100000,40000000,40900000,41900000,43000000,44000000,45000000,46100000,47100000,48000000,49000000,50100000,51200000,52400000,53700000,55100000,56400000,57800000,59200000,60500000,61900000
Turkmenistan,744000,772000,801000,831000,861000,892000,923000,954000,986000,1020000,1050000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1300000,1330000,1350000,1380000,1410000,1430000,1460000,1490000,1520000,1550000,1580000,1620000,1660000,1700000,1750000,1800000,1840000,1880000,1930000,1970000,2010000,2040000,2070000,2110000,2140000,2170000,2200000,2240000,2280000,2320000,2360000,2410000,2470000,2530000,2590000,2660000,2730000,2800000,2870000,2950000,3020000
Tuvalu,846,877,908,940,974,1010,1060,1110,1160,1210,1270,1310,1360,1410,1480,1560,1680,1820,1980,2130,2280,2400,2510,2610,2700,2820,2960,3120,3290,3450,3620,3790,3900,3970,4030,4090,4140,4180,4220,4260,4320,4400,4500,4640,4800,4970,5130,5290,5440,5610,5770,5930,6100,6280,6450,6630,6810,7000,7180
Uganda,299000,322000,348000,376000,407000,440000,476000,514000,555000,599000,627000,652000,676000,702000,728000,756000,786000,818000,852000,888000,937000,1000000,1080000,1160000,1240000,1330000,1430000,1540000,1660000,1790000,1920000,2060000,2190000,2330000,2470000,2620000,2780000,2940000,3120000,3300000,3500000,3710000,3930000,4170000,4430000,4700000,4980000,5280000,5590000,5930000,6290000,6660000,7060000,7480000,7940000,8430000,8970000,9550000,10200000
Ukraine,20000000,20500000,21100000,21700000,22300000,22900000,23500000,24100000,24700000,25300000,25800000,26400000,26900000,27400000,28000000,28500000,29000000,29500000,29900000,30400000,30800000,31300000,31700000,32100000,32500000,32900000,33300000,33800000,34200000,34500000,34600000,34700000,34900000,34900000,34700000,34500000,34200000,33900000,33600000,33300000,33000000,32700000,32400000,32200000,32100000,31900000,31800000,31700000,31600000,31500000,31500000,31400000,31400000,31300000,31200000,31200000,31100000,31000000,30900000
