country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,5520000,5700000,5890000,6070000,6260000,6450000,6630000,6810000,6990000,7180000,7360000,7540000,7730000,7920000,8110000,8300000,8500000,8690000,8890000,9080000,9280000,9470000,9660000,9810000,9960000,10100000,10300000,10500000,10700000,10900000,11100000,11300000,11500000,11700000,11900000,12200000,12400000,12600000,12800000,13000000,13200000,13400000,13600000,13700000,13900000,14000000,14200000,14400000,14500000,14700000,14900000,15000000,15200000,15300000,15500000,15700000,15900000,16200000,16400000
China,108000000,110000000,115000000,121000000,128000000,129000000,132000000,134000000,137000000,140000000,142000000,145000000,148000000,152000000,156000000,159000000,162000000,165000000,171000000,180000000,190000000,200000000,211000000,220000000,230000000,240000000,251000000,263000000,275000000,288000000,300000000,314000000,329000000,343000000,358000000,373000000,389000000,404000000,421000000,437000000,453000000,472000000,492000000,512000000,533000000,554000000,575000000,596000000,616000000,637000000,658000000,679000000,699000000,720000000,740000000,761000000,782000000,804000000,824000000
Colombia,7430000,7900000,8400000,8920000,9460000,9890000,10300000,10800000,11200000,11700000,12200000,12600000,13100000,13600000,14000000,14500000,15000000,15500000,16100000,16600000,17100000,17700000,18300000,18900000,19500000,20100000,20700000,21200000,21800000,22400000,23000000,23600000,24200000,24900000,25500000,26100000,26800000,27400000,28000000,28700000,29300000,29900000,30600000,31200000,31800000,32400000,33000000,33600000,34200000,34700000,35300000,35800000,36300000,36800000,37300000,37900000,38600000,39300000,40100000
Comoros,24000,25900,28000,30200,32600,35200,38100,39600,41200,42900,44600,46300,48100,50000,52200,54600,57500,60700,64200,67800,71500,75100,78800,82500,86400,90500,94900,99500,104000,109000,115000,120000,124000,128000,131000,135000,138000,142000,145000,149000,152000,156000,159000,163000,167000,170000,175000,179000,183000,188000,193000,198000,204000,209000,215000,221000,228000,234000,241000
"Congo, Dem. Rep.",3400000,3520000,3650000,3780000,3920000,4070000,4230000,4390000,4560000,4740000,4920000,5110000,5300000,5490000,5700000,5910000,6140000,6380000,6630000,6880000,7140000,7390000,7650000,7910000,8180000,8520000,8880000,9250000,9660000,10100000,10600000,11200000,11800000,12400000,13000000,13700000,14200000,14800000,15300000,15900000,16500000,17200000,18000000,18800000,19600000,20500000,21500000,22500000,23500000,24700000,25800000,27100000,28400000,29700000,31100000,32600000,34100000,35700000,37400000
"Congo, Rep.",322000,337000,353000,370000,389000,408000,428000,449000,471000,494000,519000,545000,573000,601000,632000,665000,699000,735000,772000,810000,851000,893000,937000,983000,1030000,1070000,1110000,1150000,1190000,1240000,1280000,1330000,1370000,1420000,1470000,1530000,1580000,1640000,1710000,1770000,1840000,1900000,1970000,2050000,2120000,2210000,2300000,2400000,2500000,2600000,2700000,2800000,2890000,2990000,3080000,3180000,3290000,3400000,3510000
Costa Rica,456000,474000,493000,514000,542000,570000,599000,628000,657000,687000,717000,748000,779000,810000,837000,866000,896000,927000,960000,994000,1030000,1070000,1110000,1140000,1190000,1240000,1300000,1360000,1430000,1490000,1560000,1630000,1700000,1780000,1860000,1930000,2010000,2100000,2180000,2260000,2340000,2440000,2530000,2630000,2720000,2810000,2910000,3000000,3100000,3190000,3280000,3380000,3470000,3560000,3640000,3730000,3810000,3890000,3970000
Cote d'Ivoire,619000,687000,762000,845000,937000,1040000,1100000,1180000,1260000,1340000,1440000,1540000,1660000,1780000,1920000,2070000,2260000,2460000,2680000,2810000,2960000,3110000,3270000,3430000,3590000,3760000,3930000,4100000,4280000,4480000,4690000,4910000,5140000,5370000,5610000,5850000,6100000,6350000,6600000,6850000,7100000,7340000,7580000,7810000,8050000,8300000,8560000,8830000,9110000,9410000,9720000,10000000,10400000,10700000,11100000,11500000,11900000,12300000,12700000
Croatia,1250000,1290000,1340000,1390000,1440000,1500000,1550000,1610000,1660000,1720000,1770000,1820000,1860000,1900000,1940000,1980000,2020000,2060000,2100000,2140000,2180000,2210000,2240000,2260000,2290000,2320000,2340000,2370000,2390000,2420000,2440000,2410000,2360000,2380000,2420000,2420000,2390000,2390000,2400000,2400000,2390000,2310000,2320000,2320000,2330000,2340000,2350000,2360000,2360000,2370000,2370000,2370000,2370000,2370000,2370000,2360000,2350000,2340000,2330000
Cuba,4170000,4270000,4380000,4490000,4610000,4720000,4830000,4940000,5040000,5140000,5250000,5410000,5580000,5750000,5910000,6070000,6210000,6350000,6470000,6590000,6710000,6820000,6900000,6980000,7070000,7160000,7270000,7400000,7530000,7660000,7770000,7860000,7930000,7980000,8030000,8090000,8140000,8200000,8260000,8320000,8380000,8440000,8490000,8530000,8550000,8570000,8580000,8590000,8590000,8590000,8600000,8620000,8640000,8670000,8690000,8710000,8720000,8730000,8730000
